"ID","ans_ratio","ans_rt","ans_acc","ans_switch","applied_problems"
"p1_18",1.25,0.913573781333333,0.892592592666667,2.274074074,108
"p1_18",1.33,0.838487,0.966666666666667,1.86666666666667,108
"p1_19",1.11,0.661537633333333,0.45,1.4,111
"p1_19",1.14,0.684420311,0.725,1.20555555566667,111
"p1_19",1.2,0.71480475,0.222222222333333,1.25,111
"p1_19",1.25,0.739456977666667,0.433333333333333,1.26666666666667,111
"p1_19",1.33,0.754681722333333,0.611111111333333,1.22222222233333,111
"p1_21",1.11,0.872657466666667,0.466666666666667,1.76666666666667,97
"p1_21",1.14,0.872080529666667,0.611111111333333,1.64444444466667,97
"p1_21",1.2,0.813511411333333,0.859259259333333,1.596296296,97
"p1_21",1.25,0.841288222333333,0.796296296333333,1.72222222233333,97
"p1_21",1.33,0.845420579,1,1.84722222233333,97
"p1_22",1.11,1.14735365933333,0.685185185333333,2.24444444433333,115
"p1_22",1.14,1.183296011,0.862962963,2.27777777766667,115
"p1_22",1.2,1.0407577,0.866666666666667,2.1,115
"p1_22",1.25,1.101598,0.933333333333333,2.1,115
"p1_22",1.33,1.090070089,0.933333333333333,2.174074074,115
"p1_23",1.11,1.05780688433333,0.523148148,1.56018518533333,115
"p1_23",1.14,1.027368511,0.577777777666667,1.69629629633333,115
"p1_23",1.2,1.04341170466667,0.709523809333333,1.576190476,115
"p1_23",1.25,1.105401032,0.708994709,1.84126984133333,115
"p1_23",1.33,1.034317387,0.85,1.56481481466667,115
"p1_24",1.11,1.46471125566667,0.618518518666667,2.26666666666667,113
"p1_24",1.14,1.35508038133333,0.718518518666667,2.06666666666667,113
"p1_24",1.2,1.17425130366667,0.892592592666667,1.825925926,113
"p1_24",1.25,1.276850852,0.887962963,2.10833333333333,113
"p1_24",1.33,1.19516863333333,0.925925926,2.04444444433333,113
"p1_26",1.11,0.915589966666667,0.9,1.96666666666667,110
"p1_26",1.14,0.921254166666667,0.8,2,110
"p1_26",1.2,0.9060671,0.75,1.78333333333333,110
"p1_26",1.25,0.942867466666667,0.9,1.93333333333333,110
"p1_26",1.33,0.883593794333333,0.888888889,1.70555555566667,110
"p1_27",1.11,1.07052043333333,0.566666666666667,2,111
"p1_27",1.14,0.733183694333333,0.902777777666667,1.27777777766667,111
"p1_27",1.2,0.838947034666667,0.841269841333333,1.75873015866667,111
"p1_27",1.25,0.84112,0.833333333333333,1.66666666666667,111
"p1_27",1.33,0.757190055666667,0.952380952333333,1.27380952366667,111
"p1_28",1.11,0.916442226,0.655555555666667,1.79259259266667,109
